Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
see-max-toric-lens,,,,,,,,Color,Green,,,,,SMX-TOR-GRN,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-toric-lens,,,,,,,,Color,Brown,,,,,SMX-TOR-BRO,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-toric-lens,,,,,,,,Color,Hazel,,,,,SMX-TOR-HAZ,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-one-tone,See Max One-Day Fashion Contact Lenses - One Tone,"<p>See Max daily disposable colour contact lens, single-tone shade for a natural everyday look.</p>",See Max,,Fashion Contact Lenses,"Contact Lenses, Brand: See Max, Lens Type: Fashion, Draft Import, Pricing: Client Confirmed, Fashion Lenses, Wear Type: One Day, Tone: One Tone",FALSE,Tone,One Tone,Color,Grey,,,SMX-1DYOT-GRY,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,See Max One-Day Fashion Contact Lenses - One Tone,"See Max daily disposable colour contact lens, single-tone shade for a natural everyday look.",draft
see-max-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Blue,,,SMX-1DYOT-BLU,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Green,,,SMX-1DYOT-GRN,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Brown,,,SMX-1DYOT-BRO,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Hazel,,,SMX-1DYOT-HAZ,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Honey,,,SMX-1DYOT-HON,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-two-tone,See Max One-Day Fashion Contact Lenses - Two Tone,"<p>See Max daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.</p>",See Max,,Fashion Contact Lenses,"Contact Lenses, Brand: See Max, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Two Tone",FALSE,Tone,Two Tone,Color,Grey-Blue,,,SMX-1DY2T-GBL,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,See Max One-Day Fashion Contact Lenses - Two Tone,"See Max daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.",draft
see-max-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Brown-Honey,,,SMX-1DY2T-BHN,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Green-Hazel,,,SMX-1DY2T-GHZ,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-three-tone,See Max One-Day Fashion Contact Lenses - Three Tone,"<p>See Max daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.</p>",See Max,,Fashion Contact Lenses,"Contact Lenses, Brand: See Max, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Three Tone",FALSE,Tone,Three Tone,Color,Classic Brown 3-Tone,,,SMX-1DY3T-CLA,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,See Max One-Day Fashion Contact Lenses - Three Tone,"See Max daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.",draft
see-max-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Smoky Grey 3-Tone,,,SMX-1DY3T-SMO,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Hazel 3-Tone,,,SMX-1DY3T-HAZ,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,Magic Eye Clear Power Contact Lenses,"<p>Magic Eye clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.</p>",Magic Eye,,Power Contact Lenses,"Contact Lenses, Brand: Magic Eye, Lens Type: Power, Draft Import, Pricing: Client Confirmed, Prescription, Transparent, Power Range: -0.50 to -4.00",FALSE,Power (SPH),-0.50,,,,,MGE-PWR-N050,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,Magic Eye Clear Power Contact Lenses,"Magic Eye clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.",draft
magic-eye-power-lens,,,,,,,,Power (SPH),-1.00,,,,,MGE-PWR-N100,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,,,,,,,,Power (SPH),-1.50,,,,,MGE-PWR-N150,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,,,,,,,,Power (SPH),-2.00,,,,,MGE-PWR-N200,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,,,,,,,,Power (SPH),-2.50,,,,,MGE-PWR-N250,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,,,,,,,,Power (SPH),-3.00,,,,,MGE-PWR-N300,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,,,,,,,,Power (SPH),-3.50,,,,,MGE-PWR-N350,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-power-lens,,,,,,,,Power (SPH),-4.00,,,,,MGE-PWR-N400,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-toric-lens,Magic Eye Toric Contact Lenses,"<p>Magic Eye toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.</p>",Magic Eye,,Toric Contact Lenses,"Contact Lenses, Brand: Magic Eye, Lens Type: Toric, Draft Import, Pricing: Client Confirmed, Astigmatism, Prescription Setup Required",FALSE,Color,Grey,,,,,MGE-TOR-GRY,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,Magic Eye Toric Contact Lenses,"Magic Eye toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.",draft
magic-eye-toric-lens,,,,,,,,Color,Blue,,,,,MGE-TOR-BLU,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-toric-lens,,,,,,,,Color,Green,,,,,MGE-TOR-GRN,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-toric-lens,,,,,,,,Color,Brown,,,,,MGE-TOR-BRO,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-toric-lens,,,,,,,,Color,Hazel,,,,,MGE-TOR-HAZ,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-one-tone,Magic Eye One-Day Fashion Contact Lenses - One Tone,"<p>Magic Eye daily disposable colour contact lens, single-tone shade for a natural everyday look.</p>",Magic Eye,,Fashion Contact Lenses,"Contact Lenses, Brand: Magic Eye, Lens Type: Fashion, Draft Import, Pricing: Client Confirmed, Fashion Lenses, Wear Type: One Day, Tone: One Tone",FALSE,Tone,One Tone,Color,Grey,,,MGE-1DYOT-GRY,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,Magic Eye One-Day Fashion Contact Lenses - One Tone,"Magic Eye daily disposable colour contact lens, single-tone shade for a natural everyday look.",draft
magic-eye-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Blue,,,MGE-1DYOT-BLU,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Green,,,MGE-1DYOT-GRN,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Brown,,,MGE-1DYOT-BRO,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Hazel,,,MGE-1DYOT-HAZ,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Honey,,,MGE-1DYOT-HON,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-two-tone,Magic Eye One-Day Fashion Contact Lenses - Two Tone,"<p>Magic Eye daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.</p>",Magic Eye,,Fashion Contact Lenses,"Contact Lenses, Brand: Magic Eye, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Two Tone",FALSE,Tone,Two Tone,Color,Grey-Blue,,,MGE-1DY2T-GBL,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,Magic Eye One-Day Fashion Contact Lenses - Two Tone,"Magic Eye daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.",draft
magic-eye-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Brown-Honey,,,MGE-1DY2T-BHN,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Green-Hazel,,,MGE-1DY2T-GHZ,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-three-tone,Magic Eye One-Day Fashion Contact Lenses - Three Tone,"<p>Magic Eye daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.</p>",Magic Eye,,Fashion Contact Lenses,"Contact Lenses, Brand: Magic Eye, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Three Tone",FALSE,Tone,Three Tone,Color,Classic Brown 3-Tone,,,MGE-1DY3T-CLA,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,Magic Eye One-Day Fashion Contact Lenses - Three Tone,"Magic Eye daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.",draft
magic-eye-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Smoky Grey 3-Tone,,,MGE-1DY3T-SMO,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
magic-eye-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Hazel 3-Tone,,,MGE-1DY3T-HAZ,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,US Vision Clear Power Contact Lenses,"<p>US Vision clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.</p>",US Vision,,Power Contact Lenses,"Contact Lenses, Brand: US Vision, Lens Type: Power, Draft Import, Pricing: Client Confirmed, Prescription, Transparent, Power Range: -0.50 to -4.00",FALSE,Power (SPH),-0.50,,,,,USV-PWR-N050,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,US Vision Clear Power Contact Lenses,"US Vision clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.",draft
us-vision-power-lens,,,,,,,,Power (SPH),-1.00,,,,,USV-PWR-N100,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,,,,,,,,Power (SPH),-1.50,,,,,USV-PWR-N150,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,,,,,,,,Power (SPH),-2.00,,,,,USV-PWR-N200,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,,,,,,,,Power (SPH),-2.50,,,,,USV-PWR-N250,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,,,,,,,,Power (SPH),-3.00,,,,,USV-PWR-N300,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,,,,,,,,Power (SPH),-3.50,,,,,USV-PWR-N350,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-power-lens,,,,,,,,Power (SPH),-4.00,,,,,USV-PWR-N400,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-toric-lens,US Vision Toric Contact Lenses,"<p>US Vision toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.</p>",US Vision,,Toric Contact Lenses,"Contact Lenses, Brand: US Vision, Lens Type: Toric, Draft Import, Pricing: Client Confirmed, Astigmatism, Prescription Setup Required",FALSE,Color,Grey,,,,,USV-TOR-GRY,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,US Vision Toric Contact Lenses,"US Vision toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.",draft
us-vision-toric-lens,,,,,,,,Color,Blue,,,,,USV-TOR-BLU,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-toric-lens,,,,,,,,Color,Green,,,,,USV-TOR-GRN,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-toric-lens,,,,,,,,Color,Brown,,,,,USV-TOR-BRO,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-toric-lens,,,,,,,,Color,Hazel,,,,,USV-TOR-HAZ,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-one-tone,US Vision One-Day Fashion Contact Lenses - One Tone,"<p>US Vision daily disposable colour contact lens, single-tone shade for a natural everyday look.</p>",US Vision,,Fashion Contact Lenses,"Contact Lenses, Brand: US Vision, Lens Type: Fashion, Draft Import, Pricing: Client Confirmed, Fashion Lenses, Wear Type: One Day, Tone: One Tone",FALSE,Tone,One Tone,Color,Grey,,,USV-1DYOT-GRY,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,US Vision One-Day Fashion Contact Lenses - One Tone,"US Vision daily disposable colour contact lens, single-tone shade for a natural everyday look.",draft
us-vision-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Blue,,,USV-1DYOT-BLU,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Green,,,USV-1DYOT-GRN,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Brown,,,USV-1DYOT-BRO,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Hazel,,,USV-1DYOT-HAZ,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Honey,,,USV-1DYOT-HON,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-two-tone,US Vision One-Day Fashion Contact Lenses - Two Tone,"<p>US Vision daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.</p>",US Vision,,Fashion Contact Lenses,"Contact Lenses, Brand: US Vision, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Two Tone",FALSE,Tone,Two Tone,Color,Grey-Blue,,,USV-1DY2T-GBL,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,US Vision One-Day Fashion Contact Lenses - Two Tone,"US Vision daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.",draft
us-vision-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Brown-Honey,,,USV-1DY2T-BHN,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Green-Hazel,,,USV-1DY2T-GHZ,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-three-tone,US Vision One-Day Fashion Contact Lenses - Three Tone,"<p>US Vision daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.</p>",US Vision,,Fashion Contact Lenses,"Contact Lenses, Brand: US Vision, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Three Tone",FALSE,Tone,Three Tone,Color,Classic Brown 3-Tone,,,USV-1DY3T-CLA,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,US Vision One-Day Fashion Contact Lenses - Three Tone,"US Vision daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.",draft
us-vision-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Smoky Grey 3-Tone,,,USV-1DY3T-SMO,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
us-vision-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Hazel 3-Tone,,,USV-1DY3T-HAZ,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,Natural Color Clear Power Contact Lenses,"<p>Natural Color clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.</p>",Natural Color,,Power Contact Lenses,"Contact Lenses, Brand: Natural Color, Lens Type: Power, Draft Import, Pricing: Client Confirmed, Prescription, Transparent, Power Range: -0.50 to -4.00",FALSE,Power (SPH),-0.50,,,,,NCL-PWR-N050,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,Natural Color Clear Power Contact Lenses,"Natural Color clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.",draft
natural-color-power-lens,,,,,,,,Power (SPH),-1.00,,,,,NCL-PWR-N100,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,,,,,,,,Power (SPH),-1.50,,,,,NCL-PWR-N150,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,,,,,,,,Power (SPH),-2.00,,,,,NCL-PWR-N200,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,,,,,,,,Power (SPH),-2.50,,,,,NCL-PWR-N250,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,,,,,,,,Power (SPH),-3.00,,,,,NCL-PWR-N300,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,,,,,,,,Power (SPH),-3.50,,,,,NCL-PWR-N350,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-power-lens,,,,,,,,Power (SPH),-4.00,,,,,NCL-PWR-N400,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-toric-lens,Natural Color Toric Contact Lenses,"<p>Natural Color toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.</p>",Natural Color,,Toric Contact Lenses,"Contact Lenses, Brand: Natural Color, Lens Type: Toric, Draft Import, Pricing: Client Confirmed, Astigmatism, Prescription Setup Required",FALSE,Color,Grey,,,,,NCL-TOR-GRY,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,Natural Color Toric Contact Lenses,"Natural Color toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.",draft
natural-color-toric-lens,,,,,,,,Color,Blue,,,,,NCL-TOR-BLU,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-toric-lens,,,,,,,,Color,Green,,,,,NCL-TOR-GRN,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-toric-lens,,,,,,,,Color,Brown,,,,,NCL-TOR-BRO,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-toric-lens,,,,,,,,Color,Hazel,,,,,NCL-TOR-HAZ,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-one-tone,Natural Color One-Day Fashion Contact Lenses - One Tone,"<p>Natural Color daily disposable colour contact lens, single-tone shade for a natural everyday look.</p>",Natural Color,,Fashion Contact Lenses,"Contact Lenses, Brand: Natural Color, Lens Type: Fashion, Draft Import, Pricing: Client Confirmed, Fashion Lenses, Wear Type: One Day, Tone: One Tone",FALSE,Tone,One Tone,Color,Grey,,,NCL-1DYOT-GRY,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,Natural Color One-Day Fashion Contact Lenses - One Tone,"Natural Color daily disposable colour contact lens, single-tone shade for a natural everyday look.",draft
natural-color-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Blue,,,NCL-1DYOT-BLU,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Green,,,NCL-1DYOT-GRN,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Brown,,,NCL-1DYOT-BRO,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Hazel,,,NCL-1DYOT-HAZ,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-one-tone,,,,,,,,Tone,One Tone,Color,Honey,,,NCL-1DYOT-HON,0,shopify,40,deny,manual,500,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-two-tone,Natural Color One-Day Fashion Contact Lenses - Two Tone,"<p>Natural Color daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.</p>",Natural Color,,Fashion Contact Lenses,"Contact Lenses, Brand: Natural Color, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Two Tone",FALSE,Tone,Two Tone,Color,Grey-Blue,,,NCL-1DY2T-GBL,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,Natural Color One-Day Fashion Contact Lenses - Two Tone,"Natural Color daily disposable colour contact lens, two-tone blended shade for a richer, dimensional look.",draft
natural-color-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Brown-Honey,,,NCL-1DY2T-BHN,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-two-tone,,,,,,,,Tone,Two Tone,Color,Green-Hazel,,,NCL-1DY2T-GHZ,0,shopify,40,deny,manual,650,,TRUE,TRUE,,,,,FALSE,,,draft
natural-color-one-day-three-tone,Natural Color One-Day Fashion Contact Lenses - Three Tone,"<p>Natural Color daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.</p>",Natural Color,,Fashion Contact Lenses,"Contact Lenses, Brand: Natural Color, Lens Type: Fashion, Draft Import, Pricing: Confirm Before Publish, Fashion Lenses, Wear Type: One Day, Tone: Three Tone",FALSE,Tone,Three Tone,Color,Classic Brown 3-Tone,,,NCL-1DY3T-CLA,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,Natural Color One-Day Fashion Contact Lenses - Three Tone,"Natural Color daily disposable colour contact lens, three-tone design for maximum depth and a bold finish.",draft
natural-color-one-day-three-tone,,,,,,,,Tone,Three Tone,Color,Smoky Grey 3-Tone,,,NCL-1DY3T-SMO,0,shopify,40,deny,manual,800,,TRUE,TRUE,,,,,FALSE,,,draft
